Fecha,Precios de productos sujetos al sistema de franjas de precios (US$ por toneladas) - Maíz
Jul01,113
Ago01,112
Sep01,107
Oct01,106
Nov01,113
Dic01,112
Ene02,116
Feb02,113
Mar02,113
Abr02,108
May02,115
Jun02,117
Jul02,123
Ago02,133
Sep02,132
Oct02,133
Nov02,133
Dic02,129
Ene03,130
Feb03,127
Mar03,127
Abr03,126
May03,130
Jun03,129
Jul03,117
Ago03,127
Sep03,124
Oct03,132
Nov03,135
Dic03,134
Ene04,141
Feb04,146
Mar04,152
Abr04,153
May04,150
Jun04,139
Jul04,122
Ago04,127
Sep04,116
Oct04,117
Nov04,117
Dic04,119
Ene05,118
Feb05,120
Mar05,121
Abr05,118
May05,118
Jun05,121
Jul05,129
Ago05,118
Sep05,118
Oct05,125
Nov05,117
Dic05,126
Ene06,124
Feb06,129
Mar06,125
Abr06,129
May06,135
Jun06,129
Jul06,136
Ago06,138
Sep06,145
Oct06,172
Nov06,190
Dic06,185
Ene07,195
Feb07,204
Mar07,187
Abr07,177
May07,185
Jun07,185
Jul07,167
Ago07,177
Sep07,194
Oct07,199
Nov07,207
Dic07,227
Ene08,241
Feb08,254
Mar08,257
Abr08,270
May08,264
Jun08,326
Jul08,271
Ago08,272
Sep08,256
Oct08,202
Nov08,183
Dic08,195
Ene09,197
Feb09,180
Mar09,194
Abr09,191
May09,209
Jun09,197
Jul09,180
Ago09,181
Sep09,185
Oct09,203
Nov09,202
Dic09,207
Ene10,192
Feb10,190
Mar10,183
Abr10,186
May10,188
Jun10,182
Jul10,196
Ago10,220
Sep10,260
Oct10,280
Nov10,260
Dic10,285
Ene11,299
Feb11,325
Mar11,313
Abr11,343
May11,342
Jun11,318
Jul11,332
Ago11,338
Sep11,305
Oct11,305
Nov11,288
Dic11,286
Ene12,295
Feb12,304
Mar12,301
Abr12,295
May12,293
Jun12,300
Jul12,365
Ago12,358
Sep12,339
Oct12,343
Nov12,353
Dic12,328
Ene13,333
Feb13,323
Mar13,337
Abr13,306
May13,318
Jun13,344
Jul13,274
Ago13,251
Sep13,243
Oct13,234
Nov13,235
Dic13,233
Ene14,232
Feb14,247
Mar14,258
Abr14,255
May14,242
Jun14,235
Jul14,217
Ago14,213
Sep14,200
Oct14,211
Nov14,213
Dic14,209
Ene15,203
Feb15,200
Mar15,199
Abr15,199
May15,190
Jun15,197
Jul15,202
Ago15,188
Sep15,197
Oct15,200
Nov15,191
Dic15,188
Ene16,193
Feb16,185
Mar16,162
Abr16,168
May16,174
Jun16,190
Jul16,173
Ago16,167
Sep16,161
Oct16,166
Nov16,163
Dic16,159
Ene17,167
Feb17,171
Mar17,163
Abr17,160
May17,160
Jun17,161
Jul17,162
Ago17,158
Sep17,154
Oct17,157
Nov17,156
Dic17,156
Ene18,164
Feb18,170
Mar18,183
Abr18,193
May18,195
Jun18,172
Jul18,161
Ago18,170
Sep18,158
Oct18,166
Nov18,164
Dic18,169
Ene19,171
Feb19,177
Mar19,175
Abr19,167
May19,176
Jun19,197
Jul19,196
Ago19,175
Sep19,158
Oct19,171
Nov19,171
Dic19,171
Ene20,177
Feb20,176
Mar20,170
Abr20,154
May20,149
Jun20,161
Jul20,169
Ago20,166
Sep20,187
Oct20,219
Nov20,223
Dic20,221
Ene21,245
Feb21,252
Mar21,253
Abr21,275
May21,315
Jun21,302
Jul21,299
Ago21,264
Sep21,276
Oct21,269
Nov21,266
Dic21,273
Ene22,285
Feb22,306
Mar22,362
Abr22,355
May22,352
Jun22,341
Jul22,309
Ago22,306
Sep22,326
Oct22,365
Nov22,341
Dic22,309
Ene23,304
Feb23,298
Mar23,290
Abr23,294
May23,269
Jun23,274
Jul23,247
Ago23,217
Sep23,233
Oct23,228
Nov23,212
Dic23,205
Ene24,204
Feb24,193
Mar24,191
Abr24,192
May24,198
Jun24,196
Jul24,184
Ago24,183
Sep24,202
Oct24,210
Nov24,208
Dic24,207
Ene25,219
Feb25,227
Mar25,209
