Fecha,Indicadores de riesgo para países emergentes: EMBIG - Diferencial de Rendimientos del Índice de Bonos de Mercados Emergentes (EMBIG) - Perú
Ago06,173
Sep06,172
Oct06,148
Nov06,147
Dic06,131
Ene07,122
Feb07,127
Mar07,132
Abr07,118
May07,110
Jun07,104
Jul07,129
Ago07,169
Sep07,156
Oct07,138
Nov07,175
Dic07,174
Ene08,195
Feb08,209
Mar08,222
Abr08,182
May08,154
Jun08,160
Jul08,198
Ago08,195
Sep08,255
Oct08,500
Nov08,484
Dic08,523
Ene09,463
Feb09,419
Mar09,409
Abr09,360
May09,292
Jun09,258
Jul09,274
Ago09,240
Sep09,226
Oct09,195
Nov09,190
Dic09,179
Ene10,178
Feb10,200
Mar10,158
Abr10,144
May10,202
Jun10,207
Jul10,187
Ago10,157
Sep10,167
Oct10,157
Nov10,152
Dic10,157
Ene11,146
Feb11,146
Mar11,157
Abr11,193
May11,187
Jun11,192
Jul11,171
Ago11,200
Sep11,237
Oct11,232
Nov11,214
Dic11,216
Ene12,219
Feb12,199
Mar12,166
Abr12,164
May12,181
Jun12,188
Jul12,163
Ago12,133
Sep12,124
Oct12,108
Nov12,123
Dic12,117
Ene13,110
Feb13,127
Mar13,140
Abr13,133
May13,134
Jun13,180
Jul13,176
Ago13,191
Sep13,183
Oct13,173
Nov13,183
Dic13,177
Ene14,176
Feb14,182
Mar14,167
Abr14,154
May14,149
Jun14,145
Jul14,146
Ago14,157
Sep14,150
Oct14,170
Nov14,165
Dic14,182
Ene15,201
Feb15,183
Mar15,184
Abr15,177
May15,166
Jun15,177
Jul15,187
Ago15,217
Sep15,234
Oct15,226
Nov15,219
Dic15,237
Ene16,267
Feb16,282
Mar16,227
Abr16,210
May16,208
Jun16,210
Jul16,184
Ago16,170
Sep16,162
Oct16,147
Nov16,168
Dic16,165
Ene17,157
Feb17,152
Mar17,141
Abr17,149
May17,141
Jun17,144
Jul17,142
Ago17,155
Sep17,144
Oct17,140
Nov17,139
Dic17,136
Ene18,117
Feb18,132
Mar18,147
Abr18,145
May18,158
Jun18,163
Jul18,151
Ago18,149
Sep18,140
Oct18,143
Nov18,157
Dic18,165
Ene19,152
Feb19,140
Mar19,136
Abr19,122
May19,136
Jun19,129
Jul19,116
Ago19,127
Sep19,116
Oct19,127
Nov19,127
Dic19,116
Ene20,114
Feb20,122
Mar20,249
Abr20,278
May20,222
Jun20,180
Jul20,169
Ago20,146
Sep20,160
Oct20,150
Nov20,147
Dic20,143
Ene21,132
Feb21,138
Mar21,165
Abr21,165
May21,164
Jun21,169
Jul21,170
Ago21,183
Sep21,174
Oct21,172
Nov21,179
Dic21,174
Ene22,177
Feb22,198
Mar22,201
Abr22,187
May22,218
Jun22,214
Jul22,235
Ago22,211
Sep22,225
Oct22,243
Nov22,203
Dic22,196
Ene23,207
Feb23,192
Mar23,204
Abr23,202
May23,197
Jun23,181
Jul23,169
Ago23,167
Sep23,169
Oct23,180
Nov23,175
Dic23,162
Ene24,170
Feb24,160
Mar24,153
Abr24,154
May24,156
Jun24,161
Jul24,159
Ago24,170
Sep24,163
Oct24,154
Nov24,155
Dic24,154
Ene25,157
Feb25,158
Mar25,163
Abr25,178
May25,159
