Calendar,GMT,Reference,Reference.1,Actual,Previous,Consensus,TEForecast,fecha_carga
2025-05-01,10:00 AM,Inflation Rate YoY,Apr,1.65%,1.28%,,1.3%,2025-06-15
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-06-15
2025-07-01,06:20 AM,Inflation Rate YoY,Jun,,1.69%,,1.7%,2025-06-15
2025-05-01,10:00 AM,Inflation Rate YoY,Apr,1.65%,1.28%,,1.3%,2025-06-15
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-06-15
2025-07-01,06:20 AM,Inflation Rate YoY,Jun,,1.69%,,1.7%,2025-06-15
2025-05-01,10:00 AM,Inflation Rate YoY,Apr,1.65%,1.28%,,1.3%,2025-06-16
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-06-16
2025-07-01,06:20 AM,Inflation Rate YoY,Jun,,1.69%,,1.7%,2025-06-16
2025-05-01,10:00 AM,Inflation Rate YoY,Apr,1.65%,1.28%,,1.3%,2025-06-17
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-06-17
2025-07-01,06:20 AM,Inflation Rate YoY,Jun,,1.69%,,1.7%,2025-06-17
2025-05-01,10:00 AM,Inflation Rate YoY,Apr,1.65%,1.28%,,1.3%,2025-06-18
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-06-18
2025-07-01,06:20 AM,Inflation Rate YoY,Jun,,1.69%,,1.7%,2025-06-18
2025-05-01,10:00 AM,Inflation Rate YoY,Apr,1.65%,1.28%,,1.3%,2025-06-19
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-06-19
2025-07-01,06:20 AM,Inflation Rate YoY,Jun,,1.69%,,1.7%,2025-06-19
2025-05-01,10:00 AM,Inflation Rate YoY,Apr,1.65%,1.28%,,1.3%,2025-06-20
2025-06-01,08:00 AM,Inflation Rate YoY,May,1.69%,1.65%,,,2025-06-20
2025-07-01,06:20 AM,Inflation Rate YoY,Jun,,1.69%,,1.7%,2025-06-20
