fecha_consulta,Moneda,Tasa (%),Periodo
2025-06-08,Nacional (TIPMN),2.21,Anual
2025-06-08,Extranjera (TIPMEX),1.45,Anual
2025-06-15,Nacional (TIPMN),2.3,Anual
2025-06-15,Extranjera (TIPMEX),1.5,Anual
2025-06-15,Nacional (TIPMN),2.3,Anual
2025-06-15,Extranjera (TIPMEX),1.5,Anual
2025-06-15,Nacional (TIPMN),2.3,Anual
2025-06-15,Extranjera (TIPMEX),1.5,Anual
2025-06-16,Nacional (TIPMN),2.3,Anual
2025-06-16,Extranjera (TIPMEX),1.5,Anual
2025-06-17,Nacional (TIPMN),2.3,Anual
2025-06-17,Extranjera (TIPMEX),1.53,Anual
2025-06-18,Nacional (TIPMN),2.29,Anual
2025-06-18,Extranjera (TIPMEX),1.51,Anual
2025-06-19,Nacional (TIPMN),2.3,Anual
2025-06-19,Extranjera (TIPMEX),1.51,Anual
2025-06-20,Nacional (TIPMN),2.3,Anual
2025-06-20,Extranjera (TIPMEX),1.5,Anual
2025-06-21,Nacional (TIPMN),2.3,Anual
2025-06-21,Extranjera (TIPMEX),1.5,Anual
2025-06-22,Nacional (TIPMN),2.3,Anual
2025-06-22,Extranjera (TIPMEX),1.5,Anual
2025-06-23,Nacional (TIPMN),2.3,Anual
2025-06-23,Extranjera (TIPMEX),1.5,Anual
2025-06-24,Nacional (TIPMN),2.31,Anual
2025-06-24,Extranjera (TIPMEX),1.5,Anual
2025-06-25,Nacional (TIPMN),2.3,Anual
2025-06-25,Extranjera (TIPMEX),1.48,Anual
2025-06-26,Nacional (TIPMN),2.30,Anual
2025-06-26,Extranjera (TIPMEX),1.51,Anual
